name,salary_min,salary_max,salary_currency,link,site
Junior Data Engineer (Product Company),,,,https://krasnodar.hh.ru/vacancy/37473951?query=Python,https://krasnodar.hh.ru
Senior Python Developer (backend),,,,https://krasnodar.hh.ru/vacancy/37765447?query=Python,https://krasnodar.hh.ru
Программист-разработчик python (midle),,,,https://krasnodar.hh.ru/vacancy/37674249?query=Python,https://krasnodar.hh.ru
Инженер-программист (Python) в отдел интеграции,,,,https://krasnodar.hh.ru/vacancy/38090479?query=Python,https://krasnodar.hh.ru
Data Engineer (World of Tanks),,,,https://krasnodar.hh.ru/vacancy/38114793?query=Python,https://krasnodar.hh.ru
Middle Python developer,,,,https://krasnodar.hh.ru/vacancy/37833603?query=Python,https://krasnodar.hh.ru
Специалист по углубленной аналитике данных (Data scientist),,,,https://krasnodar.hh.ru/vacancy/37732722?query=Python,https://krasnodar.hh.ru
Старший разработчик Backend,,,,https://krasnodar.hh.ru/vacancy/38029172?query=Python,https://krasnodar.hh.ru
QA Performance Engineer,,,,https://krasnodar.hh.ru/vacancy/37453137?query=Python,https://krasnodar.hh.ru
"Senior Software Engineer, Database Engineering (Cube.js Core)",,,,https://krasnodar.hh.ru/vacancy/36976348?query=Python,https://krasnodar.hh.ru
Младший разработчик RPA,,,,https://krasnodar.hh.ru/vacancy/38122179?query=Python,https://krasnodar.hh.ru
Golang Developer (Middle | Senior),,,,https://krasnodar.hh.ru/vacancy/38136741?query=Python,https://krasnodar.hh.ru
Marketing Analyst,,,,https://krasnodar.hh.ru/vacancy/38088027?query=Python,https://krasnodar.hh.ru
Руководитель направления по исследованию данных/Senior Data Scientist (Knowledge Graph),,,,https://krasnodar.hh.ru/vacancy/37608468?query=Python,https://krasnodar.hh.ru
Deep Learning Engineer (Computer Vision),,,,https://krasnodar.hh.ru/vacancy/38082522?query=Python,https://krasnodar.hh.ru
Middle Java Developer (Уфа),,,,https://krasnodar.hh.ru/vacancy/38090223?query=Python,https://krasnodar.hh.ru
PHP программист,,,,https://krasnodar.hh.ru/vacancy/37678834?query=Python,https://krasnodar.hh.ru
Senior Python Developer,,,,https://krasnodar.hh.ru/vacancy/35095020?query=Python,https://krasnodar.hh.ru
Data Engineer/BI Engineer,,,,https://krasnodar.hh.ru/vacancy/38030627?query=Python,https://krasnodar.hh.ru
Backend developer (NodeJS),,,,https://krasnodar.hh.ru/vacancy/38070991?query=Python,https://krasnodar.hh.ru
Middle Java Developer (Краснодар),,,,https://krasnodar.hh.ru/vacancy/38090235?query=Python,https://krasnodar.hh.ru
IT Recruiter,,,,https://krasnodar.hh.ru/vacancy/37524033?query=Python,https://krasnodar.hh.ru
Backend Engineer (Middle/Senior),,,,https://krasnodar.hh.ru/vacancy/38056511?query=Python,https://krasnodar.hh.ru
SSD Model Development Engineer/Researcher,,,,https://krasnodar.hh.ru/vacancy/38041835?query=Python,https://krasnodar.hh.ru
Middle DevOps Engineer/System Administrator (Product Company),,,,https://krasnodar.hh.ru/vacancy/38043101?query=Python,https://krasnodar.hh.ru
Front-end developer (vue.js),,,,https://krasnodar.hh.ru/vacancy/36004084?query=Python,https://krasnodar.hh.ru
System Administrator / IT Engineer (DevOps),,,,https://krasnodar.hh.ru/vacancy/38039122?query=Python,https://krasnodar.hh.ru
Сетевой инженер (IP транспорт),,,,https://krasnodar.hh.ru/vacancy/35345913?query=Python,https://krasnodar.hh.ru
Ведущий программист,,,,https://krasnodar.hh.ru/vacancy/38008790?query=Python,https://krasnodar.hh.ru
Application Security Engineer,,,,https://krasnodar.hh.ru/vacancy/37106743?query=Python,https://krasnodar.hh.ru
.NET developer,,,,https://krasnodar.hh.ru/vacancy/38007382?query=Python,https://krasnodar.hh.ru
Application Security Engineer,,,,https://krasnodar.hh.ru/vacancy/36863802?query=Python,https://krasnodar.hh.ru
Python разработчик,,,,https://krasnodar.hh.ru/vacancy/37483469?query=Python,https://krasnodar.hh.ru
Junior Machine Learning Engineer,,,,https://krasnodar.hh.ru/vacancy/37711158?query=Python,https://krasnodar.hh.ru
Junior Python специалист,,,,https://krasnodar.hh.ru/vacancy/37900668?query=Python,https://krasnodar.hh.ru
Разработчик Python,,,,https://krasnodar.hh.ru/vacancy/37927418?query=Python,https://krasnodar.hh.ru
Разработчик Python,,,,https://krasnodar.hh.ru/vacancy/38123256?query=Python,https://krasnodar.hh.ru
Python senior developer,,,,https://krasnodar.hh.ru/vacancy/37115745?query=Python,https://krasnodar.hh.ru
Senior Python developer,,,,https://krasnodar.hh.ru/vacancy/30005963?query=Python,https://krasnodar.hh.ru
Back-end разработчик (Python),,,,https://krasnodar.hh.ru/vacancy/37777964?query=Python,https://krasnodar.hh.ru
Data Scientist (Computer Vision),,,,https://krasnodar.hh.ru/vacancy/38090271?query=Python,https://krasnodar.hh.ru
Программист C++/Python,,,,https://krasnodar.hh.ru/vacancy/37184106?query=Python,https://krasnodar.hh.ru
Python-разработчик в команду Data Science,,,,https://krasnodar.hh.ru/vacancy/37998939?query=Python,https://krasnodar.hh.ru
Python-разработчик (Django),,,,https://krasnodar.hh.ru/vacancy/37990060?query=Python,https://krasnodar.hh.ru
Data Scientist,,,,https://krasnodar.hh.ru/vacancy/37635578?query=Python,https://krasnodar.hh.ru
Программист Python,,,,https://krasnodar.hh.ru/vacancy/37402770?query=Python,https://krasnodar.hh.ru
Python Lead Engineer,,,,https://krasnodar.hh.ru/vacancy/37642858?query=Python,https://krasnodar.hh.ru
Python Developer (Numpy/pandas),,,,https://krasnodar.hh.ru/vacancy/38092920?query=Python,https://krasnodar.hh.ru
Backend Developer (Python),,,,https://krasnodar.hh.ru/vacancy/37808186?query=Python,https://krasnodar.hh.ru
Senior python разработчик,,,,https://krasnodar.hh.ru/vacancy/38090292?query=Python,https://krasnodar.hh.ru
Junior Python Developer (разработчик),,,,https://krasnodar.hh.ru/vacancy/37928725?query=Python,https://krasnodar.hh.ru
Аналитик данных / Data Analyst (Python/R),,,,https://krasnodar.hh.ru/vacancy/37603927?query=Python,https://krasnodar.hh.ru
Программист на Python с базовым знанием С++,,,,https://krasnodar.hh.ru/vacancy/37673701?query=Python,https://krasnodar.hh.ru
