name,link,salary,min_salary,max_salary,currency,city,main_link
Программист-разработчик python (midle),https://hh.ru/vacancy/37674249?query=python,"['100', '000', '180', '000', 'руб.']",100000,180000,руб.,Москва,https://hh.ru
Инженер-программист (Python) в отдел интеграции,https://hh.ru/vacancy/38090479?query=python,"['120', '000', '160', '000', 'руб.']",120000,160000,руб.,Москва,https://hh.ru
Middle Python developer,https://hh.ru/vacancy/37833603?query=python,"['до', '400', '000', 'KZT']",,400000,KZT,Алматы,https://hh.ru
Python developer,https://hh.ru/vacancy/38148332?query=python,,,,,Минск,https://hh.ru
Senior Python Developer,https://hh.ru/vacancy/35095020?query=python,,,,,Минск,https://hh.ru
Junior Python специалист,https://hh.ru/vacancy/37900668?query=python,"['50', '000', '70', '000', 'руб.']",50000,70000,руб.,Москва,https://hh.ru
Python-разработчик,https://hh.ru/vacancy/38081405?query=python,"['140', '000', '200', '000', 'руб.']",140000,200000,руб.,Москва,https://hh.ru
Python разработчик,https://hh.ru/vacancy/37483469?query=python,"['150', '000', '220', '000', 'руб.']",150000,220000,руб.,Москва,https://hh.ru
Python-разработчик (Django),https://hh.ru/vacancy/37990060?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Москва,https://hh.ru
Python Developer на бэкенд,https://hh.ru/vacancy/38112756?query=python,"['60', '000', '90', '000', 'руб.']",60000,90000,руб.,Москва,https://hh.ru
Senior Python developer,https://hh.ru/vacancy/30005963?query=python,"['от', '4', '000', 'USD']",4000,,USD,Москва,https://hh.ru
Senior python разработчик,https://hh.ru/vacancy/38090292?query=python,"['180', '000', '220', '000', 'руб.']",180000,220000,руб.,Москва,https://hh.ru
Разработчик Python,https://hh.ru/vacancy/38123256?query=python,"['от', '150', '000', 'руб.']",150000,,руб.,Москва,https://hh.ru
Python Developer,https://hh.ru/vacancy/37913284?query=python,"['от', '115', '000', 'руб.']",115000,,руб.,Санкт-Петербург,https://hh.ru
Back-end разработчик (Python),https://hh.ru/vacancy/37777964?query=python,"['100', '000', '180', '000', 'руб.']",100000,180000,руб.,Екатеринбург,https://hh.ru
Программист Python,https://hh.ru/vacancy/37641296?query=python,"['150', '000', '180', '000', 'руб.']",150000,180000,руб.,Москва,https://hh.ru
"Разработчик автоматических тестов GUI (Python, Squish)",https://hh.ru/vacancy/38036578?query=python,"['от', '3', '000', 'USD']",3000,,USD,Москва,https://hh.ru
Программист C++/Python,https://hh.ru/vacancy/37184106?query=python,"['от', '140', '000', 'руб.']",140000,,руб.,Москва,https://hh.ru
Python-разработчик,https://hh.ru/vacancy/38148713?query=python,"['от', '120', '000', 'руб.']",120000,,руб.,Санкт-Петербург,https://hh.ru
Программист Python,https://hh.ru/vacancy/38157850?query=python,"['180', '000', '250', '000', 'руб.']",180000,250000,руб.,Москва,https://hh.ru
Python разработчик,https://hh.ru/vacancy/37374546?query=python,"['150', '000', '200', '000', 'руб.']",150000,200000,руб.,Москва,https://hh.ru
